Country,Capital,Fun Facts,Continent,Difficulty
Turkey,Ankara,"Ankara is famous for its Angora wool.",Europe,Difficult
Argentina,Buenos Aires,"Buenos Aires means 'Good Airs' in Spanish.",South America,Difficult
Thailand,Bangkok,"Bangkok's full ceremonial name is the longest city name in the world.",Asia,Difficult
United States,Washington D.C.,"Washington D.C. was designed by French engineer Pierre Charles L'Enfant.",North America,Easy
United Kingdom,London,"London has over 170 museums.",Europe,Easy
Russia,Moscow,"The Moscow Kremlin is the largest medieval fortress in the world.",Europe,Easy
China,Beijing,"Beijing is home to the Forbidden City, the largest palace complex in the world.",Asia,Easy
Italy,Rome,"Rome is home to the smallest country in the world, Vatican City.",Europe,Easy
Mexico,Mexico City,"Mexico City was built on a lake and is slowly sinking.",North America,Easy
South Africa,Pretoria,"Pretoria is one of South Africa's three capital cities.",Africa,Easy
Saudi Arabia,Riyadh,"Riyadh means 'gardens' in Arabic.",Asia,Difficult
South Korea,Seoul,"Seoul is home to the world's fastest internet speeds.",Asia,Easy
Spain,Madrid,"Madrid is the highest capital city in Europe.",Europe,Easy
Indonesia,Jakarta,"Jakarta is sinking faster than any other big city in the world.",Asia,Difficult
Sweden,Stockholm,"Stockholm is built on 14 islands.",Europe,Difficult
Norway,Oslo,"Oslo was founded over 1,000 years ago.",Europe,Difficult
Finland,Helsinki,"Helsinki has more saunas than cars.",Europe,Difficult
Denmark,Copenhagen,"Copenhagen's harbor is clean enough to swim in.",Europe,Difficult
Poland,Warsaw,"Warsaw's Old Town was rebuilt after World War II.",Europe,Difficult
Netherlands,Amsterdam,"Amsterdam has more bikes than people.",Europe,Easy
Belgium,Brussels,"Brussels is known for its waffles and chocolates.",Europe,Easy
Portugal,Lisbon,"Lisbon is the oldest city in Western Europe.",Europe,Difficult
Greece,Athens,"Athens is one of the world's oldest cities.",Europe,Easy
Switzerland,Bern,"Bern is named after a bear.",Europe,Difficult
Austria,Vienna,"Vienna is known as the City of Music.",Europe,Easy
Hungary,Budapest,"Budapest is home to the largest thermal water cave system.",Europe,Difficult
Ireland,Dublin,"Dublin's name comes from the Irish word for 'black pool'.",Europe,Difficult
Czech Republic,Prague,"Prague's castle is the largest ancient castle in the world.",Europe,Difficult
Romania,Bucharest,"Bucharest's Palace of the Parliament is the heaviest building in the world.",Europe,Difficult
Ukraine,Kyiv,"Kyiv is one of the oldest cities in Eastern Europe.",Europe,Difficult
